ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,Field,Region
C901005481304807,301.730086261256,-56.7803591482011,5.0664963722229,0.0536121503798398,10.076592341182591,-999999.0,16.245908737182617,15.705517768859863,15.753742987455423,15.313631057739258,20.47193113068771,-99999.0,0.0,1.1802647366574472,A3667,1.0,,,,,,,,,,,,,,0.492165749727194,20.2659854888916,,,0,0,8,1,HectorClusters,A3667
C901005481107063,300.9279418373204,-56.705728558656496,6.7115678787231445,0.054503072053194,10.84066642132905,-999999.0,15.851736068725586,14.955573081970217,14.70851488914124,14.310897827148438,20.33256769803569,-99999.0,1.0,1.872217642476323,A3667,1.0,,,,,,,,,,,,,,1.143221179584346,26.846271514892575,,,1,0,8,1,HectorClusters,A3667
C901005402403791,303.4984069845141,-56.99903593537804,8.623713493347168,0.0534083938405083,10.540551683599231,-999999.0,16.6171875,15.662477493286133,15.661154911722356,14.994503021240234,21.58382377234861,-99999.0,1.0,0.42219423250532,A3667,1.0,,,,,,,,,,,,,,0.956032588277644,34.49485397338867,,,1,0,8,1,HectorClusters,A3667
C901005803506455,302.3437847172181,-55.78018016255316,6.243150234222412,0.0571388937532901,10.275753536930043,-999999.0,16.521869659423828,15.76567840576172,15.777459115155798,15.192696571350098,20.985572016765666,-99999.0,0.0,1.757736421428039,A3667,1.0,,,,,,,,,,,,,,0.74441054426803,24.97260093688965,,,0,0,8,1,HectorClusters,A3667
C901005481300418,301.52803998530834,-56.870102937704814,2.304271459579468,0.0358237735927104,8.690438652369451,-999999.0,19.85745620727539,19.586488723754883,18.10357552828039,19.503820419311523,22.642031609221803,-99999.0,0.0,1.3501140003116396,A3667,0.0,,,,,,,,,,,,,,1.7538806789949994,9.217085838317873,,,0,0,8,3,HectorClusters,A3667
C901005803403713,301.7709204863738,-55.85626211675262,10.401741981506348,0.0555805601179599,9.810021997588615,-999999.0,16.46246910095215,15.851022720336914,16.629359251819704,15.447778701782228,22.17942778587572,-99999.0,0.0,1.901722788770035,A3667,1.0,,,,,,,,,,,,,,-0.1668901508675553,41.60696792602539,,,0,0,8,1,HectorClusters,A3667
C901005561306532,302.9352390498165,-56.44363855138115,1.8913644552230835,0.0571377724409103,9.726820339704975,-999999.0,18.40463256835937,17.661048889160156,17.286099236942288,17.160219192504883,20.28779968588058,-99999.0,0.0,0.6150543197486624,A3667,1.0,,,,,,,,,,,,,,1.1185333314170869,7.565457820892334,,,0,0,8,1,HectorClusters,A3667
C901005481502961,302.53429936456104,-56.66129620224768,6.272353172302246,0.0551769831959269,10.682224176789928,-999999.0,16.559051513671875,15.600446701049805,15.363134429694997,14.914261817932127,20.830473901944952,-99999.0,1.0,0.5571953958406327,A3667,1.0,,,,,,,,,,,,,,1.1959170839768802,25.089412689208984,,,1,0,8,1,HectorClusters,A3667
C901005481103888,300.7785838196748,-56.854949396135474,5.604076385498047,0.0383668579161167,9.187607853394322,-999999.0,17.445741653442383,16.960071563720703,16.9959770761898,16.66250228881836,21.945466476645898,-99999.0,0.0,1.98651837358389,A3667,0.0,,,,,,,,,,,,,,0.4497645772525835,22.416305541992188,,,0,0,8,1,HectorClusters,A3667
C901005561409545,303.5361712131898,-56.38494833380624,3.2993357181549072,0.0563188400119543,9.897854145123867,-999999.0,17.536720275878906,16.923473358154297,16.578528611964575,16.506366729736328,20.75848058324845,-99999.0,0.0,0.7762789352063599,A3667,1.0,,,,,,,,,,,,,,0.9581916639143307,13.197342872619627,,,0,0,8,1,HectorClusters,A3667
C901005722001438,301.23384376838874,-56.08455595986811,3.4079701900482178,0.0504137687385082,9.803972707329963,-999999.0,18.3509578704834,17.557706832885742,17.080069873131517,16.989641189575195,21.46306045103015,-99999.0,1.0,1.985175809052348,A3667,1.0,,,,,,,,,,,,,,1.2708879973518812,13.631880760192873,,,0,0,4,1,HectorClusters,A3667
C901005402409604,303.7376650316641,-57.028530247888014,6.209952831268311,0.0385570768266916,8.724383960937825,-999999.0,18.47417640686035,18.087230682373047,18.021232646717245,17.877769470214844,23.29554687127333,-99999.0,0.0,0.6152304433899787,A3667,0.0,,,,,,,,,,,,,,0.452943760143107,24.83981132507324,,,0,0,8,1,HectorClusters,A3667
C901005481603362,303.0054960433138,-56.803918792254976,2.8588292598724365,0.0554441847672777,10.424905803455555,-999999.0,17.10696792602539,16.161949157714844,15.962036293391144,15.49200439453125,19.68576493154355,-99999.0,1.0,0.098880274204249,A3667,1.0,,,,,,,,,,,,,,1.1449316326342451,11.435317039489746,,,0,0,1,1,HectorClusters,A3667
C901005641401452,301.8417167562692,-56.12838502224878,6.656813621520996,0.0548519790172576,10.087325100354008,-999999.0,17.588438034057617,16.753734588623047,16.45494786072165,16.09543228149414,22.11294125875344,-99999.0,1.0,1.5403231574042249,A3667,1.0,,,,,,,,,,,,,,1.133490173335968,26.627254486083984,,,0,0,4,1,HectorClusters,A3667
