ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901003884809869   64.0377042856  -61.9546348919 17.64 5
901003885107715   65.4648691463  -62.0145098547 17.12 7
901003885400289   66.7144129840  -62.0304734567 17.03 7
901003885406293   66.9708018135  -61.8898274436 17.45 6
901003885406932   66.9959589438  -62.0331474843 17.18 7
901003886405844   72.1951111806  -61.9726848161 16.80 7
901003886509185   72.8426667139  -61.9516206486 17.08 7
901003953003970   64.2096000781  -61.7542225856 16.82 7
901003953007255   64.3760139366  -61.7748858656 17.54 5
901003953200185   65.0776113055  -61.7218312220 16.62 7
901003953602880   67.3034870793  -61.7988789000 17.15 7
901003953603082   67.3124727792  -61.7205105816 16.97 7
901003953604157   67.3565596510  -61.6461221995 17.03 7
901003953605407   67.4091960197  -61.8144538828 17.81 5
901003953703099   67.8105930782  -61.7366539893 16.61 7
901003953900840   68.7776918677  -61.6610907428 17.20 7
901003954209143   70.7211895841  -61.6835406342 17.01 7
901003954209724   70.7460036515  -61.7311880480 17.63 5
901003954305007   71.0428124004  -61.8658277517 17.51 5
901003954507086   72.1593364944  -61.7424425989 17.87 5
901003954510028   72.2826302680  -61.8339734587 17.30 6
901004021501077   63.1763474261  -61.4678157708 17.76 5
901004021602292   63.7537118999  -61.4456141986 17.73 5
901004021608906   64.0455928066  -61.4008743660 17.25 7
901004021707723   64.5321383397  -61.3902171849 16.96 7
901004021710694   64.6711231507  -61.4466975295 16.84 7
901004021710954   64.6859468151  -61.5136546881 17.88 5
901004021905823   65.4792266711  -61.4374982607 17.09 7
901004022104176   66.4486528331  -61.4802814468 17.79 5
901004022407422   68.1198415147  -61.4731294122 17.24 7
901004022502052   68.4251239399  -61.6093911609 17.49 6
901004022700898   69.4274437572  -61.5538027750 17.78 5
901004022703658   69.5455848271  -61.4555233917 17.46 6
901004022803927   70.0910626306  -61.4437443800 17.95 5
901004022804683   70.1242187956  -61.4258727223 17.00 7
901004022904465   70.6270560740  -61.4387926576 17.91 5
901004022905661   70.6755951487  -61.5532105672 17.45 6
901004023002956   71.0704194838  -61.4936572007 16.77 7
901004023106447   71.7473366200  -61.5947961371 16.67 7
901004023203770   72.1458786608  -61.3760670755 17.14 7
901004023207928   72.3021621344  -61.5225670055 16.69 7
901004023208995   72.3417095133  -61.5982712863 17.24 7
901004023209129   72.3466746182  -61.4209341193 17.62 5
901004023210828   72.4101745529  -61.5736104154 16.79 7
901004023311014   72.9189125797  -61.4840294372 17.32 6
901004090503596   62.7438843644  -61.3616302750 17.46 6
901004090505866   62.8535562517  -61.2809065907 17.87 5
901004090810153   64.5941630564  -61.3071480264 17.49 6
901004091000382   65.1853096732  -61.1441794016 17.13 7
901004091001175   65.2207413814  -61.2587404504 17.43 6
901004091003795   65.3378263068  -61.2419437603 16.87 7
901004091204980   66.4306518711  -61.1353573746 17.38 6
901004091309577   67.1373342216  -61.1520488873 17.17 7
901004091309657   67.1407498908  -61.3060478756 17.36 6
901004091903660   69.9846147283  -61.3148577881 16.98 7
901004091906310   70.0928056443  -61.3647270262 17.96 5
901004092105066   71.0828010186  -61.2041223578 17.65 5
901004092112187   71.3782403662  -61.2489693752 17.89 5
901004092412222   72.8962473112  -61.3079396322 17.30 6
901004160302967   63.2065481065  -61.0187788954 17.71 5
901004160909754   66.6021664095  -61.0410783250 17.35 6
901004161002975   66.7877633125  -61.0204034663 16.98 7
901004161101328   67.2372039541  -60.9994529306 17.73 5
901004161104907   67.4112436105  -60.9423448582 16.75 7
901004161109089   67.6098998262  -60.9483265842 17.37 6
901004161210465   68.1658156788  -61.0530711883 17.29 6
901004162102659   72.4023177791  -60.9144721594 17.39 6
901004162107298   72.5719505437  -61.0453349810 17.19 7
901004230501729   62.6064019084  -60.7258848182 17.68 5
901004230503321   62.6689249200  -60.6618724253 17.87 5
901004230511102   63.0301602853  -60.8570008874 17.08 7
901004230602089   63.1548041841  -60.7343431527 17.62 5
901004230700934   63.6023510988  -60.7619384794 17.94 5
901004230703537   63.7261115991  -60.6806528479 16.61 7
901004230800829   64.1016694980  -60.8442043175 17.10 7
901004230808548   64.4373401498  -60.8629980342 17.96 5
901004230910248   65.0137252871  -60.8387302337 17.08 7
901004231001380   65.1387277436  -60.7742319250 17.59 5
901004231203449   66.2610625866  -60.6622051983 16.95 7
901004231308069   66.9796881197  -60.8309611222 17.50 5
901004231600795   68.1727309880  -60.6578515099 16.85 7
901004232100208   70.6835260194  -60.7018590079 17.06 7
901004232102826   70.8036682896  -60.7568378244 17.18 7
901004232111080   71.1785866418  -60.7112145289 17.76 5
901004232202234   71.2818928493  -60.8289551547 17.11 7
901004232210688   71.6296628070  -60.7148380879 16.61 7
901004232211739   71.6755442561  -60.7195674338 17.70 5
901004232305758   71.9375459177  -60.7108720390 17.26 6
901004232307522   72.0084831290  -60.6326838367 16.90 7
901004301405631   62.9401581525  -60.5060426877 16.99 7
