ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901005515100926   94.3212207470  -56.5368798923 16.91 7
901005515101698   94.3513950431  -56.4493178728 16.65 7
901005515102644   94.3911060873  -56.3871896165 17.82 5
901005515105883   94.5329161999  -56.5747845515 17.85 5
901005515203278   94.8750103093  -56.4012565512 17.30 6
901005515203926   94.9011146901  -56.6029469129 18.00 5
901005515205413   94.9635958590  -56.4341454507 16.62 7
901005515505665   96.3371344534  -56.5089127912 17.10 7
901005515603688   96.7057319437  -56.6119008140 17.69 5
901005515604274   96.7350985504  -56.5578447431 17.88 5
901005515609203   96.9793673563  -56.4447075627 17.37 6
901005515703287   97.1490588219  -56.4675208201 17.46 6
901005515804565   97.6769125338  -56.5312880199 17.03 7
901005515807464   97.8294089105  -56.5653026941 17.10 7
901005515901914   98.0029492720  -56.5916141862 17.73 5
901005515906331   98.2784660538  -56.4425381788 17.42 6
901005516004390   98.6504721790  -56.4347826849 16.66 7
901005516006080   98.7782847299  -56.5149133102 16.86 7
901005516103102   99.0403306451  -56.4431423349 16.93 7
901005516103835   99.1135568717  -56.6233065880 16.85 7
901005516104071   99.1327081396  -56.5022868877 16.69 7
901005516200115   99.2558281391  -56.4254761148 17.18 7
901005516200526   99.2927971536  -56.5710791009 17.93 5
901005516203764   99.5981088862  -56.5388572867 17.66 5
901005560405347  299.0578449544  -56.4606234675 16.75 7
901005560501861  299.2045582879  -56.5533213157 17.69 5
901005560505492  299.4009123385  -56.3833421800 17.54 5
901005560507456  299.4966710609  -56.5962262065 16.77 7
901005560507583  299.5027880750  -56.4679105020 17.98 5
901005560508089  299.5257843612  -56.5667042547 17.58 5
901005560601474  299.6164478848  -56.4952616115 16.75 7
901005560704810  300.2282636623  -56.5516140689 17.47 6
901005560705622  300.2651145054  -56.5159711230 17.23 7
901005560706018  300.2832177540  -56.5143483636 16.71 7
901005560707735  300.3634516999  -56.6155202718 16.80 7
901005560802327  300.5518889302  -56.3876088437 16.72 7
901005560802822  300.5725269137  -56.5458667674 17.57 5
901005560806714  300.7386891393  -56.5671628653 17.41 6
901005560809351  300.8556581803  -56.5774531857 16.69 7
901005560902856  301.0276120730  -56.4445079368 17.60 5
901005560903839  301.0724989582  -56.3884806924 16.67 7
901005560909069  301.3027746067  -56.4761528239 17.19 7
901005560910275  301.3499345761  -56.3929408979 17.78 5
901005561005337  301.5880854138  -56.6062193445 16.88 7
901005561006308  301.6277660470  -56.4038226780 17.10 7
901005561100880  301.8349154610  -56.6083307429 17.38 6
901005561108137  302.1207489422  -56.4445973157 16.97 7
901005561108945  302.1510495755  -56.3833461384 17.02 7
901005561201900  302.3147016811  -56.3904068300 17.11 7
901005561202446  302.3354473819  -56.5336753391 16.61 7
901005561206567  302.4893034770  -56.4097170209 17.03 7
901005561302323  302.7794164701  -56.4460218078 16.89 7
901005561403909  303.3105995628  -56.3997275235 17.84 5
901005561410011  303.5545716617  -56.5251138930 18.00 5
901005561504042  303.7673452083  -56.4574041482 17.51 5
901005561504542  303.7873956132  -56.4689428637 17.26 6
901005561603024  304.1785730486  -56.3901143655 17.94 5
901005561702121  304.6045065133  -56.6164369266 17.41 6
901005561800398  304.9774134179  -56.3919399698 17.32 6
901005561804853  305.1931296964  -56.5344171010 17.86 5
901005561903421  305.5678083739  -56.5841552032 17.48 6
901005562002826  305.9883305667  -56.5525302541 16.74 7
901005562007034  306.2105208428  -56.5992945558 16.80 7
901005562007216  306.2207853320  -56.4961386294 17.67 5
901005562007839  306.2550495467  -56.5778004151 17.02 7
901005562008463  306.2925653257  -56.5997846637 17.04 7
901005562008511  306.2947234368  -56.5013460738 16.74 7
901005562103341  306.4783959186  -56.5075655023 17.20 7
901005562200690  306.8003187847  -56.5248885979 17.35 6
901005562207702  307.1374122778  -56.4718476264 17.44 6
901005562300616  307.2434874430  -56.5075067686 16.94 7
901005562301704  307.2973670784  -56.4101045527 16.93 7
901005562306434  307.5313537578  -56.4015674046 17.44 6
901005562307781  307.5965517170  -56.5047283261 17.47 6
901005562403470  307.8435821407  -56.5800210542 17.74 5
901005562405579  307.9455652947  -56.4102798066 17.24 7
901005562407563  308.0288280094  -56.5371011153 17.18 7
901005594500749   91.8206541145  -56.1804598533 17.16 7
901005594606441   92.5348074601  -56.3049743098 16.67 7
901005594608400   92.6264540336  -56.1793000645 17.77 5
901005594807007   93.4052262734  -56.2594085382 16.65 7
901005594808591   93.4645894354  -56.3640423092 17.34 6
901005594809221   93.4851858247  -56.3473673698 17.31 6
901005595010580   94.4595395419  -56.1324241711 16.93 7
901005595100119   94.4786034248  -56.1709835482 17.69 5
901005595101055   94.5184079061  -56.2013188589 16.88 7
901005595104308   94.6466297359  -56.3065361845 17.03 7
901005595104617   94.6585797833  -56.2462503454 17.24 7
901005595107154   94.7625851547  -56.1500218554 16.90 7
901005595108744   94.8286023306  -56.2994515098 17.54 5
901005595402798   95.9419651981  -56.2805179896 17.84 5
901005595403066   95.9555141177  -56.3530182032 17.27 6
901005595504624   96.4783810387  -56.2550771702 17.74 5
901005595605171   96.9486720980  -56.3209561940 17.46 6
901005595606137   96.9964072626  -56.2329875799 17.26 6
901005595607390   97.0594007451  -56.2528704015 17.80 5
901005595609249   97.1499074124  -56.1665760051 16.83 7
901005595701413   97.2238985807  -56.2152400140 17.12 7
901005595708257   97.5834117388  -56.3532594037 16.80 7
901005595800770   97.6483653785  -56.2018842206 17.61 5
901005595802471   97.7382067969  -56.3035184602 17.00 7
901005595807967   98.0456563031  -56.1328603066 16.78 7
901005595905212   98.3498718828  -56.2436534116 16.83 7
901005596000055   98.5088745423  -56.2378225365 17.18 7
901005596002181   98.6611271533  -56.1726306242 17.07 7
901005596002188   98.6618386919  -56.1972529161 16.87 7
901005596100376   98.9860035197  -56.2954193794 16.64 7
901005596101285   99.0699420505  -56.2803341917 17.19 7
901005640700493  298.6915096140  -56.1823306428 16.88 7
901005640701874  298.7836137014  -56.3225806352 17.29 6
901005640702369  298.8131291376  -56.1918486423 17.46 6
901005640703677  298.8887286665  -56.3009167641 16.60 7
901005640705441  298.9945123201  -56.2388183990 16.70 7
901005640705629  299.0033574613  -56.1649177809 17.47 6
901005640801004  299.1442555318  -56.2897489089 16.82 7
901005640805856  299.3824909618  -56.1325457686 17.79 5
901005640807589  299.4667370410  -56.1753484550 17.19 7
901005640807854  299.4789076215  -56.1934616944 17.28 6
901005640808011  299.4859452877  -56.2984793467 17.04 7
901005640808205  299.4949005951  -56.2119957863 17.64 5
901005640808306  299.4997180908  -56.2866116742 17.33 6
901005640900968  299.5918424894  -56.1522557940 17.82 5
901005640904515  299.7507798156  -56.2493867907 17.15 7
901005640905675  299.7984615622  -56.3496095443 17.21 7
901005640906826  299.8479724181  -56.1493755364 17.70 5
901005641000274  300.0081676557  -56.2029236204 16.75 7
901005641007555  300.3550909677  -56.3368181873 17.73 5
901005641008401  300.3924182011  -56.2084240893 17.66 5
901005641101987  300.5328375396  -56.2734778399 16.87 7
901005641107263  300.7562014105  -56.3580946854 16.90 7
901005641307079  301.6030653131  -56.1306082089 17.00 7
901005641401903  301.8589780622  -56.2406765974 17.74 5
901005641404750  301.9678763690  -56.1506581379 16.62 7
901005641406793  302.0454481777  -56.2215747465 17.87 5
901005641406869  302.0478016351  -56.2662571286 17.31 6
901005641503614  302.3775528950  -56.3461007516 17.46 6
901005641509200  302.6021644298  -56.1374087907 17.96 5
901005641509489  302.6148255625  -56.2786151428 17.52 5
901005641607554  302.9584780106  -56.2412367398 17.07 7
901005641608221  302.9848096710  -56.1900219240 17.68 5
901005641700759  303.1642073271  -56.1460888295 16.87 7
901005641704822  303.3346106599  -56.3356729856 16.66 7
901005641706630  303.4088630794  -56.3473515648 17.33 6
901005641808013  303.8984104951  -56.3363126716 17.88 5
901005641908986  304.3735528560  -56.2939403285 17.05 7
901005642101506  304.9915624729  -56.3379871223 17.88 5
901005642209083  305.7835503026  -56.2342369625 17.50 5
901005642308139  306.1864610717  -56.3190805781 16.86 7
901005642401394  306.3346886131  -56.1753119719 16.83 7
901005642406875  306.6036042544  -56.2554907575 16.67 7
901005642507148  307.0749977001  -56.1575325396 16.82 7
901005642508104  307.1234655717  -56.3074087854 17.21 7
901005642606050  307.4423587037  -56.1353360980 17.79 5
901005642609669  307.6115710004  -56.2632520551 17.61 5
901005666710105   55.2221998017  -55.9199769352 17.76 5
901005675001058   91.8191741875  -55.9668500306 17.52 5
901005675002232   91.8668442705  -56.0229355948 17.04 7
901005675010632   92.2100386372  -55.8755379101 17.99 5
901005675104164   92.4182827729  -55.9826724674 16.97 7
901005675106008   92.4973092946  -55.9452593255 17.67 5
901005675210845   93.0575260062  -56.0549647492 17.32 6
901005675305492   93.3178843263  -55.9790359099 17.43 6
901005675311508   93.5267937177  -56.0141002162 17.14 7
901005675400453   93.5791800439  -56.0755278943 17.22 7
901005675406846   93.8580894252  -56.1062261358 17.46 6
901005675604140   94.6079036064  -55.9507780162 17.38 6
901005675702429   95.0065362351  -55.9167892239 16.91 7
901005675709894   95.2943512747  -55.9396169208 17.75 5
901005675800613   95.3652783635  -55.9152252548 17.65 5
901005675802792   95.4461629622  -55.9677712938 17.91 5
901005675806589   95.5878853243  -56.0180916122 17.87 5
901005675904838   95.9948129251  -55.9275559274 16.93 7
901005675905329   96.0128622742  -55.8832105002 16.75 7
901005675909448   96.1919692694  -56.0396793954 16.73 7
901005676007569   96.5962655321  -55.9288748457 17.29 6
901005676102420   96.7962990875  -55.8878380599 17.10 7
901005676300159   97.5808822846  -55.9326248152 16.87 7
901005676303645   97.7839330232  -55.9128358249 17.68 5
901005676401866   98.1232085638  -56.0596428402 17.74 5
901005676403595   98.2311950883  -56.1110556447 16.85 7
901005676406223   98.3860923759  -55.8886645593 17.37 6
901005676500134   98.4699917238  -56.1227329763 17.89 5
901005676500283   98.4791681137  -55.9169680135 16.86 7
901005676503667   98.6993817418  -56.0637216730 16.79 7
901005676503942   98.7197224497  -55.8776973448 17.09 7
901005721502224  299.0964798323  -56.0624229722 16.87 7
901005721507794  299.3821974963  -55.9615080326 17.70 5
901005721603309  299.5595841655  -56.0958036733 17.34 6
901005721604558  299.6256829161  -55.8922968509 17.71 5
901005721605906  299.6920924277  -55.9447605847 17.33 6
901005721606614  299.7264067433  -56.0597824312 16.72 7
901005721701207  299.9004481090  -56.1131540802 17.63 5
901005722010787  301.5908979506  -55.9751033909 17.67 5
901005722103418  301.7531820095  -55.8957046228 17.30 6
901005722108599  301.9422526628  -55.9749772208 17.99 5
901005722110525  302.0167672951  -56.0729451730 17.77 5
901005722206946  302.3567733924  -55.9556426485 17.54 5
901005722306272  302.7632472873  -55.9340798359 17.82 5
901005722400491  302.9879732665  -56.0689460242 16.97 7
901005722400657  302.9947828302  -56.0005067526 17.32 6
901005722402234  303.0622840960  -55.9597345275 17.46 6
901005722402494  303.0727020963  -55.9102069515 16.74 7
901005722407024  303.2598303081  -55.9971691121 17.06 7
901005722503156  303.5374331870  -55.9922651198 17.67 5
901005722507820  303.7118022618  -55.9789713199 17.11 7
901005722511379  303.8492810579  -55.9515986032 16.64 7
901005722703360  304.4263473318  -55.9142703785 17.25 6
901005722704518  304.4673160991  -56.1134437169 17.29 6
901005722708571  304.6247381151  -55.8831402747 16.68 7
901005722803144  304.8752202500  -55.9933359839 17.21 7
901005722807949  305.0774052593  -55.8989737983 17.62 5
901005722808267  305.0913021393  -56.0323942435 17.93 5
901005723004776  305.8419717360  -56.0656614953 16.66 7
901005723006114  305.8983895178  -56.0015695465 17.28 6
901005723100127  306.0895308673  -55.9147286509 16.68 7
901005723101077  306.1344631272  -55.8767570472 17.39 6
901005723103676  306.2525323160  -56.1165518636 17.53 5
901005723104236  306.2816591063  -55.9327852546 17.77 5
901005723105979  306.3659061441  -55.9345498661 16.85 7
901005723201272  306.5892504595  -56.0983037927 17.20 7
901005723204191  306.7309188520  -55.9082923960 16.79 7
901005723208672  306.9293564748  -55.8904278599 17.53 5
901005723304653  307.1902798782  -55.9046047288 16.98 7
901005723500794  307.8960295234  -56.0473149310 17.41 6
901005723502251  307.9548341469  -56.0104691563 17.02 7
901005723505854  308.1013656458  -56.1150407440 17.21 7
901005747506046   54.6641221858  -55.7685601919 17.83 5
901005747509075   54.8024912146  -55.7131449896 17.06 7
901005747801750   55.8081864853  -55.8398186542 17.57 5
901005747802229   55.8331737286  -55.7518647613 17.14 7
901005747901022   56.2142239419  -55.8185218066 16.94 7
901005747901927   56.2586715766  -55.8648285397 17.14 7
901005748201262   57.5408773917  -55.6988738571 17.60 5
901005756001393   92.0404880876  -55.8506197228 17.16 7
901005756007211   92.2609670886  -55.8043839007 17.52 5
901005756106085   92.6438637985  -55.6505411168 17.37 6
901005756106495   92.6577637513  -55.8038078173 17.01 7
901005756108738   92.7327760564  -55.7844490846 16.86 7
901005756200177   92.8777202489  -55.8547440670 17.06 7
901005756206237   93.1029206085  -55.6448993405 17.03 7
901005756211659   93.2983984516  -55.7558772183 17.32 6
901005756305184   93.4929662390  -55.7625741988 16.70 7
901005756308253   93.6121547336  -55.7377812271 17.13 7
901005756408807   94.1092846370  -55.6541657967 16.76 7
901005756503338   94.3249020991  -55.8603235907 17.28 6
901005756510213   94.5971527111  -55.8138058471 17.93 5
901005756604371   94.7926303998  -55.6621582672 17.50 5
901005756605937   94.8531726024  -55.6662702441 17.36 6
901005756606373   94.8724921052  -55.7796945361 16.95 7
901005756607756   94.9292159144  -55.8606416319 16.79 7
901005756610933   95.0688618816  -55.6982382438 17.30 6
901005756705125   95.2946004341  -55.6949557518 17.23 7
901005756808498   95.8546173273  -55.6326684572 17.36 6
901005756900850   96.0070749989  -55.7897772615 17.60 5
901005757001123   96.4626284152  -55.6926605324 16.60 7
901005757006390   96.7190954798  -55.8241933262 16.96 7
901005757008119   96.8112690224  -55.8075223120 16.89 7
901005757108123   97.2628522246  -55.7358385156 16.80 7
901005757206629   97.6685454100  -55.8137956563 17.52 5
901005757302802   97.9167442438  -55.6676113641 16.83 7
901005757305330   98.0928082177  -55.8312534581 17.14 7
901005757400091   98.1840910750  -55.7177392874 17.90 5
901005757402993   98.3830912512  -55.7661652073 17.35 6
901005757403550   98.4192050889  -55.7857861509 18.00 5
901005757403670   98.4273897888  -55.6271481267 17.25 6
901005757405371   98.5318674383  -55.6489762791 17.71 5
901005757406207   98.5814916375  -55.7132288822 17.45 6
901005757505340   99.0033301534  -55.7300320969 17.43 6
901005757600833   99.1386102826  -55.7113998339 17.13 7
901005802601974  298.4567344308  -55.7535797631 17.73 5
901005802701222  298.6369793213  -55.7372831794 17.22 7
901005802701986  298.7091793309  -55.6343662099 17.49 6
901005802703057  298.8264225768  -55.7294996388 17.81 5
901005802801004  299.0346615016  -55.7727418332 17.23 7
901005802802670  299.1400812563  -55.7525072978 16.98 7
901005802804459  299.2527022946  -55.7194385825 16.91 7
901005802805760  299.3219911022  -55.6987540334 16.92 7
901005802905171  299.6211279337  -55.7594315375 16.90 7
901005803000789  299.8721218992  -55.7166230386 17.62 5
901005803004300  300.0105166707  -55.7364489633 16.67 7
901005803006811  300.1124924240  -55.7165879244 16.99 7
901005803010680  300.2601026249  -55.7852241697 17.47 6
901005803107658  300.5637582663  -55.8122347559 17.85 5
901005803200782  300.7629061299  -55.6949150359 17.34 6
901005803201375  300.7861071479  -55.7270889829 17.17 7
901005803202191  300.8174728862  -55.8545314050 16.62 7
901005803304761  301.3736326333  -55.7848146357 17.60 5
901005803307809  301.4896706468  -55.6895032766 16.78 7
901005803310921  301.6119938057  -55.8000095024 16.89 7
901005803401323  301.6684601592  -55.7254018410 16.94 7
901005803410213  302.0515213342  -55.7517417296 16.93 7
901005803410257  302.0535660049  -55.6941886997 17.96 5
901005803700358  302.9595920608  -55.7519281412 17.67 5
901005803709135  303.3508264271  -55.8633622038 16.68 7
901005803710006  303.3851461906  -55.7860341733 17.09 7
901005803802590  303.4886285785  -55.8649763854 16.75 7
901005803804576  303.5619714033  -55.6516953557 17.51 5
901005803901385  303.8910951577  -55.7010585687 17.50 6
901005803907437  304.1484332213  -55.8676860209 17.54 5
901005803907925  304.1694530285  -55.6643636579 17.55 5
901005803908106  304.1762115304  -55.8347870563 17.67 5
901005804001974  304.3555008897  -55.7271585164 16.91 7
901005804007829  304.6059629010  -55.8112768380 16.74 7
901005804202581  305.2640213770  -55.7281313118 17.28 6
901005804203691  305.3116732126  -55.6583468576 17.93 5
901005804206630  305.4426302407  -55.8549291032 16.83 7
901005804302486  305.7072696760  -55.6771519422 16.79 7
901005804407982  306.3927386893  -55.7164476561 17.98 5
901005804605128  307.1394546968  -55.8147679082 17.69 5
901005804702508  307.4765501024  -55.8008766744 16.80 7
901005804706934  307.6679806173  -55.8088529185 17.94 5
901005804707370  307.6849339750  -55.6529100152 17.72 5
901005804707609  307.6941110380  -55.6635580780 16.72 7
901005828707652   53.4592824939  -55.4833037065 17.32 6
901005828809356   53.9773844472  -55.5001062627 16.96 7
901005829205240   55.5564817094  -55.4503600941 17.74 5
901005829310036   56.1619010924  -55.4013871314 17.19 7
901005829409455   56.6190514346  -55.4482832842 16.91 7
901005829507540   56.9392005199  -55.5052652991 17.57 5
901005829702227   57.6113112475  -55.4072914981 17.16 7
901005837500482   91.7734311502  -55.3784339358 17.24 7
901005837504930   91.9277019836  -55.5249258152 17.63 5
901005837703063   92.7518633389  -55.4047516191 17.56 5
901005837707175   92.8985457828  -55.4622030273 16.98 7
901005838003664   94.0640620150  -55.3756954375 16.92 7
901005838003764   94.0675305131  -55.6043489433 17.41 6
901005838108668   94.7089408968  -55.5730723454 16.61 7
901005838206708   95.0941680239  -55.6139851787 17.07 7
901005838208732   95.1748313483  -55.4459298170 16.78 7
901005838210431   95.2429908344  -55.5685691003 17.63 5
901005838300240   95.2742649652  -55.4625105237 16.97 7
901005838303069   95.3946724585  -55.6039968043 17.63 5
901005838308397   95.6081447314  -55.5343637806 16.70 7
901005838401946   95.7790585786  -55.6133204666 17.64 5
901005838403621   95.8513858209  -55.5196512429 16.83 7
901005838407873   96.0264383886  -55.5190527845 17.81 5
901005838503325   96.3060586517  -55.5595460699 17.00 7
901005838507187   96.4900390991  -55.4705380195 16.79 7
901005838507632   96.5122432365  -55.5687157479 16.88 7
901005838602842   96.7055150022  -55.5952571072 16.78 7
901005838604789   96.8003522385  -55.5456866186 16.83 7
901005838605076   96.8176742976  -55.5250790046 17.54 5
901005838605842   96.8553671419  -55.4706786565 17.80 5
901005838609232   97.0176201144  -55.5616120461 17.77 5
901005838700894   97.0708082794  -55.5252872613 16.81 7
901005838701494   97.0999645855  -55.5614816264 16.77 7
901005838703779   97.2170206034  -55.4599076941 17.33 6
901005838707244   97.4097022445  -55.4213104808 16.74 7
901005838707476   97.4214034068  -55.4970208075 17.19 7
901005838800322   97.4769438839  -55.3784514920 16.68 7
901005838801549   97.5448760681  -55.5490384650 17.86 5
901005838805838   97.8023385307  -55.5049231663 17.34 6
901005838805963   97.8114516395  -55.5544142168 17.51 5
901005838806340   97.8364358984  -55.4961576914 17.57 5
901005838806550   97.8484450268  -55.5787679678 16.69 7
901005839003158   98.5658215731  -55.4040748311 16.77 7
901005839003353   98.5847070563  -55.4734168770 17.22 7
901005839005079   98.7272090661  -55.3892356195 17.03 7
901005839100817   98.8484110100  -55.3997419968 17.09 7
901005839103840   99.0999538049  -55.4500324508 17.44 6
901005839105211   99.2100907363  -55.5366232049 17.68 5
901005839201266   99.3369253199  -55.3906483089 16.69 7
901005884500761  298.4320282701  -55.6234688260 17.86 5
901005884602020  298.7231649841  -55.5191286740 17.82 5
901005884602852  298.7848069954  -55.4120959575 17.88 5
901005884603206  298.8156303045  -55.4747665793 17.74 5
901005884803087  299.5515772617  -55.5361181270 17.24 7
901005884807025  299.7165505742  -55.5950472462 16.94 7
901005884808013  299.7600818031  -55.5390489750 17.61 5
901005884808626  299.7856785040  -55.5435547701 16.87 7
901005884808912  299.7971064606  -55.3850231811 16.79 7
901005884904576  300.0234880802  -55.4492793969 17.32 6
901005885002366  300.3699502460  -55.5360507725 17.60 5
901005885009907  300.6395447972  -55.4805320946 16.92 7
901005885010482  300.6605038962  -55.4883657628 16.84 7
901005885102457  300.8299974306  -55.5350262863 17.65 5
901005885200594  301.1931306604  -55.5318682536 16.62 7
901005885206462  301.4358819809  -55.4987055239 17.83 5
901005885302716  301.7189001852  -55.4704295512 17.10 7
901005885310944  302.0338928427  -55.4507332205 17.35 6
901005885401238  302.0946196138  -55.6170176375 17.91 5
901005885402384  302.1425800925  -55.5601240719 17.62 5
901005885408528  302.4094433969  -55.6196551686 16.95 7
901005885602557  303.0393831900  -55.4742609598 16.82 7
901005885605322  303.1664912384  -55.4906865147 17.26 6
901005885608560  303.3264814869  -55.4666570127 17.39 6
901005885702113  303.4700444232  -55.5015327815 17.93 5
901005885708155  303.7262370212  -55.3778389784 16.75 7
901005885809549  304.2012490846  -55.6248148981 17.34 6
901005885904488  304.4223354626  -55.5097406398 17.20 7
901005885905204  304.4523403735  -55.5810792557 17.22 7
901005885909073  304.6110819656  -55.4354923835 17.63 5
901005886008075  305.0281220100  -55.5265924134 17.80 5
901005886102029  305.2055495095  -55.4150159429 16.85 7
901005886201145  305.6048510046  -55.5634522670 17.50 6
901005886202134  305.6449578118  -55.5299749139 17.51 5
901005886204056  305.7275402075  -55.5200902308 17.20 7
901005886304053  306.1694849605  -55.5393297737 17.88 5
901005886306378  306.2744448259  -55.6164915957 17.14 7
901005886307149  306.3072847397  -55.4134648783 17.40 6
901005886400629  306.4610933057  -55.3986332306 17.81 5
901005886404203  306.6190938200  -55.5653370352 17.58 5
901005886504571  307.0537019245  -55.4505113050 16.66 7
901005886505416  307.0880457671  -55.4795853771 17.07 7
901005886505925  307.1070443239  -55.5172046278 17.47 6
901005886604323  307.4872917875  -55.5469909344 17.10 7
901005886605291  307.5258727602  -55.6169224424 16.99 7
901005886607758  307.6221103783  -55.5478318410 16.81 7
901005887908978  313.4445559914  -55.3860726774 17.90 5
901005911105701   54.8568574784  -55.2615798007 16.67 7
901005911108732   54.9824893470  -55.2503220911 17.95 5
901005911307950   55.8138959203  -55.3000797257 17.31 6
901005911709767   57.6590040480  -55.1514618676 17.82 5
901005911903135   58.2269875060  -55.3083722307 16.81 7
901005911909528   58.4909932201  -55.1267401608 17.51 5
901005919601020   91.7852169075  -55.1463435832 16.83 7
901005919601271   91.7948143658  -55.1439965086 16.83 7
901005919607621   92.0457063484  -55.2938420537 17.53 5
901005919700106   92.1851825119  -55.2178609033 17.25 6
901005919700836   92.2129119720  -55.2123078981 17.84 5
901005919709317   92.5260210645  -55.1461639843 16.74 7
901005919709685   92.5404298280  -55.3087004061 16.64 7
901005919711174   92.5952312563  -55.3023024895 17.87 5
901005919810740   93.0447667998  -55.2997898910 17.24 7
901005919900847   93.0842943925  -55.1664022445 16.63 7
901005919905759   93.2526926989  -55.1340943094 17.81 5
901005919906454   93.2781487198  -55.2501849156 16.75 7
901005919908859   93.3718980772  -55.2757094331 17.45 6
901005919910130   93.4191059654  -55.3198457446 16.82 7
901005919911841   93.4863984132  -55.3555655471 17.66 5
901005920000597   93.5144102543  -55.1950087913 17.61 5
901005920004582   93.6721824563  -55.1396090224 16.68 7
901005920004869   93.6819922964  -55.1877442735 17.34 6
901005920104567   94.1051992121  -55.1706228974 16.70 7
901005920207116   94.6392995989  -55.1738123461 17.00 7
901005920208483   94.6911217827  -55.3365134062 17.41 6
901005920301619   94.8665503387  -55.1659497124 17.74 5
901005920401044   95.2976845338  -55.2275618256 17.06 7
901005920404710   95.4625154586  -55.2584160515 17.19 7
901005920405125   95.4793565618  -55.3203538427 17.86 5
901005920407903   95.5875007483  -55.3585907435 17.14 7
901005920408689   95.6116448068  -55.3452133139 17.38 6
901005920502529   95.7784559462  -55.2436394673 16.64 7
901005920505415   95.9198251379  -55.1855175889 17.12 7
901005920601316   96.1685317766  -55.1909438860 17.64 5
901005920608177   96.5095488772  -55.3360191975 17.52 5
901005920700181   96.5606741104  -55.2463814515 16.83 7
901005920902428   97.5441358136  -55.1867456724 16.95 7
901005920907260   97.7865787760  -55.3507167655 17.79 5
901005921002576   97.9831291045  -55.1378060107 16.77 7
901005921003045   98.0079587175  -55.2600123943 16.94 7
901005921003998   98.0572856659  -55.1906148112 17.75 5
901005921004052   98.0606878440  -55.2097546904 17.51 5
901005921006808   98.2142656747  -55.1265633379 16.90 7
901005921007823   98.2782201355  -55.1956849433 16.94 7
901005921008012   98.2908350264  -55.2006188629 16.64 7
901005921101115   98.3704610454  -55.1290346467 16.60 7
901005921103045   98.5062505633  -55.1945727959 16.71 7
901005921200392   98.7600700559  -55.1498155837 17.61 5
901005921200760   98.7891388712  -55.2735003405 17.38 6
901005921202635   98.9142549393  -55.2588580985 17.66 5
901005921202801   98.9242179922  -55.1962932208 16.99 7
901005921203531   98.9774969594  -55.3350665089 16.71 7
901005921205795   99.1350874828  -55.2300876384 17.52 5
901005921300420   99.2049530865  -55.3278322319 16.83 7
901005921300810   99.2368648917  -55.1649272880 16.90 7
901005921300971   99.2498142663  -55.3561666429 17.24 7
901005921303048   99.4217745346  -55.2359587422 16.80 7
901005921303583   99.4700084975  -55.1484002194 16.79 7
901005967002174  298.9597013602  -55.2522263940 16.90 7
901005967004379  299.0935211426  -55.1898124566 17.31 6
901005967004601  299.1083594987  -55.2477426178 17.74 5
901005967004677  299.1126702970  -55.1720135914 16.90 7
901005967100581  299.2999424909  -55.3690452337 16.74 7
901005967101552  299.3510461361  -55.3185803357 17.61 5
901005967103504  299.4582859481  -55.2538392281 17.34 6
901005967104061  299.4868178590  -55.2919739983 17.37 6
901005967104951  299.5283364696  -55.2922943993 17.95 5
901005967105517  299.5533274177  -55.3265099557 17.35 6
901005967200190  299.7148275418  -55.3213653256 17.89 5
901005967200322  299.7214942829  -55.2372442448 16.77 7
901005967202693  299.8325139535  -55.1872026518 17.15 7
901005967206039  299.9902449980  -55.2257907129 16.70 7
901005967302294  300.2359070154  -55.2074810441 16.94 7
901005967309444  300.5167711634  -55.2431391557 16.68 7
901005967406092  300.8457302148  -55.1723989055 17.73 5
901005967409634  301.0011479602  -55.1952094896 16.64 7
901005967501971  301.0974177879  -55.3183253677 17.60 5
901005967602165  301.5362701759  -55.2004587913 17.00 7
901005967606665  301.7224290806  -55.1448859457 16.91 7
901005967609363  301.8240901859  -55.2631426934 16.91 7
901005967703428  302.0204486380  -55.3477955540 16.76 7
901005967706927  302.1607951012  -55.2209852150 17.68 5
901005967803161  302.4530373628  -55.1647928501 17.01 7
901005967804856  302.5216909612  -55.1959623703 16.89 7
901005967807259  302.6160363447  -55.1953911948 16.75 7
901005967810449  302.7541558504  -55.2620609861 17.12 7
901005967903830  302.9220976076  -55.1747788621 16.69 7
901005967907639  303.0803252883  -55.1624403559 17.25 7
901005967908720  303.1226459759  -55.3341314367 17.34 6
901005968003289  303.3450457255  -55.2370614061 16.99 7
901005968004230  303.3868381917  -55.2333464905 17.22 7
901005968008214  303.5615972816  -55.1726274684 16.69 7
901005968101851  303.7175213030  -55.1882239387 16.66 7
901005968104234  303.8196411110  -55.2611943119 17.62 5
901005968106374  303.9092841488  -55.2092949674 17.09 7
901005968201791  304.1515260167  -55.3473960890 17.50 5
901005968204094  304.2528707946  -55.1556212260 17.11 7
901005968204099  304.2529700899  -55.2119869434 17.96 5
901005968300487  304.5300377344  -55.1798830298 17.58 5
901005968301979  304.5944331122  -55.1791973609 17.85 5
901005968308629  304.8744666053  -55.2077379143 16.90 7
901005968400575  304.9735381174  -55.3528837531 16.84 7
901005968406675  305.2213237993  -55.2374687312 17.94 5
901005968501191  305.4333954273  -55.1742216994 17.72 5
901005968505504  305.6116325707  -55.3318527563 17.43 6
901005968506831  305.6718421202  -55.1364654600 17.26 6
