ROWID  RA DEC PSFMAG_R
901005804507819  306.8549972488  -55.8652828141 13.58
901005804605105  307.1386469786  -55.7466706004 13.86
901005804607372  307.2305853374  -55.7712371343 14.32
901005804700674  307.3968681027  -55.7222229371 14.22
901005804708340  307.7247179213  -55.8424994897 14.33
901005804800362  307.8272766279  -55.7498068104 13.91
901005828805166   53.7913771845  -55.5678487437 14.33
901005828805789   53.8178847368  -55.5649876367 14.43
901005828808625   53.9456038760  -55.5561164769 14.46
901005828902356   54.1113279606  -55.5596042642 14.52
901005828903622   54.1703295880  -55.6051808640 14.29
901005828905972   54.2849417784  -55.5423229828 13.78
901005829000318   54.4455629341  -55.4042591481 14.00
901005829007406   54.7800984634  -55.4209381524 13.91
901005829102141   54.9673829510  -55.5239152170 13.76
901005829102417   54.9797355797  -55.4686292917 14.53
901005829208318   55.6952818923  -55.5326384579 13.48
901005829300310   55.7645532094  -55.3983985730 13.46
901005829301065   55.7955512071  -55.5575603631 14.21
901005829306551   56.0205164555  -55.5618645614 13.61
901005829402142   56.2901040617  -55.4046852482 13.70
901005829507700   56.9450243890  -55.3816088343 14.01
901005829601264   57.1224545930  -55.6014271763 14.12
901005829603757   57.2301448075  -55.5984829603 14.26
901005829608489   57.4450703949  -55.3778609484 13.69
901005829608967   57.4686852876  -55.5548085414 13.63
901005829703301   57.6667557752  -55.6133191545 13.89
901005829703379   57.6707925771  -55.5796286589 13.78
901005829706248   57.8061001887  -55.3782220381 14.40
901005829706529   57.8207885559  -55.3881103254 14.34
901005829800598   57.9767869955  -55.4718373359 14.02
901005829804783   58.1641217543  -55.4249648382 13.79
901005829806055   58.2213129060  -55.4182145971 14.00
901005837500335   91.7673186572  -55.5201866542 14.23
901005837509583   92.0887679848  -55.4397118735 13.84
901005837509817   92.0973480923  -55.6007564054 13.90
901005837510183   92.1106638884  -55.5624354600 14.26
901005837512025   92.1755958531  -55.4402973588 13.93
901005837601691   92.2447229899  -55.4981442371 13.64
901005837602379   92.2676861281  -55.5617371062 13.57
901005837606064   92.3920115818  -55.5932548481 13.82
901005837606184   92.3962846419  -55.4495920025 14.28
901005837609804   92.5299431114  -55.5504600098 13.69
901005837702577   92.7328598424  -55.5465221931 14.02
901005837706194   92.8628189244  -55.4520272608 13.60
901005837706399   92.8697835391  -55.4141617506 13.95
901005837710874   93.0357461159  -55.4497300338 13.71
901005837711183   93.0474534610  -55.5268518443 14.14
901005837800319   93.0801176919  -55.5280648619 13.58
901005837801792   93.1399564996  -55.6200762000 14.35
901005837808734   93.4035364074  -55.4184698007 14.20
901005837903827   93.6439943271  -55.3758151951 14.06
901005837903856   93.6451511039  -55.4292064081 14.08
901005837905205   93.6918144174  -55.4274556746 13.55
901005837910518   93.8863090311  -55.6202551847 13.84
901005838003269   94.0504529897  -55.5459616687 13.65
901005838003304   94.0514970696  -55.4226799908 14.27
901005838007077   94.1790783785  -55.5077716426 13.43
901005838008385   94.2254951013  -55.5023687584 13.60
901005838008615   94.2323654458  -55.5562374837 14.25
901005838009108   94.2498065370  -55.5084704229 14.19
901005838010197   94.2881337268  -55.6199623413 13.78
901005838010650   94.3047184370  -55.4505751051 14.18
901005838012538   94.3759193857  -55.5172389853 13.82
901005838012784   94.3854785691  -55.5635462898 14.05
901005838101437   94.4412503299  -55.4422767848 14.14
901005838103288   94.5117138944  -55.5077414684 13.74
901005838105307   94.5861111483  -55.5710678918 13.65
901005838106347   94.6220715536  -55.4150905373 13.93
901005838108742   94.7115778348  -55.4293070797 13.58
901005838109052   94.7235930455  -55.4486832880 14.09
901005838109887   94.7554265450  -55.4691171233 13.71
901005838200467   94.8425674778  -55.5735956514 13.68
901005838201299   94.8749991184  -55.6140246257 13.55
901005838201346   94.8769620650  -55.5825565560 14.30
901005838203815   94.9783091834  -55.5343486677 13.51
901005838205625   95.0517388413  -55.5065068391 13.47
901005838205642   95.0523982902  -55.4608523850 14.11
901005838205853   95.0611917277  -55.5396035031 13.80
901005838206769   95.0966897220  -55.4942047008 14.00
901005838210950   95.2641626441  -55.5483107450 14.32
901005838302724   95.3785292951  -55.4927803304 14.20
901005838303130   95.3969495450  -55.4439249668 13.86
901005838304925   95.4630714494  -55.4624026880 14.36
901005838305880   95.5010683760  -55.4529639207 14.01
901005838306358   95.5195470987  -55.4445715549 13.81
901005838307194   95.5561382674  -55.4621502948 13.79
901005838308054   95.5934301482  -55.4917374991 14.08
901005838308231   95.6012910364  -55.5062798529 14.13
901005838308357   95.6069776658  -55.4307182988 13.46
901005838400809   95.7334272441  -55.5015057994 14.30
901005838401508   95.7614216699  -55.4608866540 14.39
901005838405002   95.9085513097  -55.5499064930 13.85
901005838405607   95.9327530945  -55.3984091162 14.25
901005838406417   95.9684145791  -55.4951102593 14.04
901005838406656   95.9801419427  -55.6133449112 13.66
901005838406966   95.9942918804  -55.4009328332 14.10
901005838410243   96.1368466789  -55.4290401753 13.84
901005838500405   96.1640175527  -55.4929178504 14.35
901005838501954   96.2427448462  -55.5417071192 13.64
901005838502287   96.2595254137  -55.5029005866 14.31
901005838503786   96.3269742957  -55.5484382366 14.22
901005838504949   96.3828604621  -55.5257397361 13.36
901005838505474   96.4099200411  -55.5503618457 14.29
901005838507921   96.5272367043  -55.4021899803 14.17
901005838508748   96.5637404965  -55.5685474546 14.36
901005838603704   96.7433268010  -55.4543085639 13.92
901005838604488   96.7846257177  -55.5353524262 13.63
901005838701722   97.1103731730  -55.4977033518 14.38
901005838702033   97.1244076614  -55.6018481018 13.58
901005838703518   97.2032217540  -55.4460400770 13.79
901005838704827   97.2745994346  -55.5158022418 13.81
901005838705115   97.2897263348  -55.6140562509 14.42
901005838705544   97.3131120646  -55.5939329076 14.23
901005838706312   97.3571276832  -55.5843624698 13.96
901005838800398   97.4810320140  -55.5787784362 13.70
901005838800884   97.5091767179  -55.3915216153 13.41
901005838802276   97.5883021805  -55.4723788124 13.90
901005838806509   97.8460864302  -55.5451889252 13.67
901005838901126   97.9672754202  -55.5089960274 13.63
901005838901229   97.9741158136  -55.5326760530 13.84
901005838902075   98.0248624681  -55.5280989741 14.16
901005838904375   98.1701805869  -55.4111257110 14.23
901005839001941   98.4689074230  -55.5084534009 14.40
901005839003284   98.5769955675  -55.6235576265 14.37
901005839004305   98.6604969839  -55.6005943056 13.71
901005839004349   98.6643224320  -55.5128377799 13.85
901005839103032   99.0347294454  -55.5118702268 13.54
901005839103321   99.0564116934  -55.5334184177 13.65
901005839105135   99.2031938665  -55.5504072737 13.58
901005839200242   99.2381597990  -55.3901626434 13.80
901005839202912   99.6147102596  -55.4342433374 14.09
901005884600672  298.6065260870  -55.5963643578 14.99
901005884600977  298.6345036542  -55.5070649793 13.61
901005884601628  298.6889067480  -55.5601468792 13.50
901005884602298  298.7433226881  -55.4429373162 13.61
901005884602579  298.7654099129  -55.4480113042 13.60
901005884701076  299.0429850168  -55.5019378379 13.56
901005884703591  299.2003318392  -55.5041141021 13.76
901005884703725  299.2076030387  -55.3927226460 13.95
901005884705315  299.2966476878  -55.5950683848 13.53
901005884706675  299.3670625017  -55.3977492085 13.95
901005884706817  299.3755112892  -55.4487853954 14.16
901005884900566  299.8694848946  -55.5756866644 13.44
901005884901459  299.9029398864  -55.4528597369 13.42
901005884901826  299.9182385133  -55.5523181165 14.05
901005884903963  299.9993426836  -55.4084967630 13.94
901005884904416  300.0175514921  -55.5533971964 13.96
901005884907137  300.1284802470  -55.4556175960 14.42
901005884908248  300.1763882972  -55.4536201070 13.57
901005884909264  300.2175700263  -55.6101024590 13.51
901005884910373  300.2585799520  -55.4161967462 13.90
901005885000287  300.2961645150  -55.3840141745 13.52
901005885000332  300.2975245328  -55.4708651079 13.70
901005885001301  300.3328027194  -55.5629075681 13.99
901005885002609  300.3790383218  -55.5997832978 14.25
901005885005267  300.4760061433  -55.5893888919 13.74
901005885102150  300.8171359899  -55.5213613321 14.07
901005885102307  300.8241023989  -55.4762103560 13.90
901005885102495  300.8314367115  -55.5740492670 14.36
901005885103963  300.8904494428  -55.4357474671 13.99
901005885108753  301.0851838760  -55.4351499055 14.30
901005885202812  301.2853460695  -55.4301184299 14.43
901005885207939  301.4985479760  -55.3829380053 14.31
901005885304572  301.7886430930  -55.3832352280 14.29
901005885305091  301.8076416601  -55.4023782329 14.27
901005885305963  301.8405911410  -55.4103246600 14.06
901005885306222  301.8507775242  -55.4653600263 14.28
901005885402535  302.1491061374  -55.5736657491 13.55
901005885407270  302.3563083357  -55.6028643799 14.19
901005885501262  302.5364634244  -55.6117624220 14.01
901005885509195  302.8901786098  -55.3936015595 13.87
901005885602248  303.0248859822  -55.5189374183 14.07
901005885603850  303.0985455153  -55.6082419223 14.17
901005885606824  303.2404452974  -55.5742971802 14.12
901005885700102  303.3685730313  -55.4267065669 13.95
901005885701262  303.4279856963  -55.3822109694 13.93
901005885704701  303.5806842273  -55.5725018173 13.50
901005885706614  303.6625823549  -55.5397608068 13.36
901005885804975  304.0027690873  -55.6190442266 13.56
901005885805893  304.0428962279  -55.5137784529 13.96
901005885806618  304.0730205101  -55.5886705306 13.87
901005885807628  304.1187561042  -55.4556016692 13.87
901005885808572  304.1605186539  -55.3919840212 14.23
901005885809659  304.2061548551  -55.4999209432 14.29
901005885809691  304.2076225200  -55.5759424637 13.48
901005885904596  304.4275206381  -55.4190035074 13.83
901005886000133  304.6848116991  -55.4448260689 14.19
901005886000658  304.7080594339  -55.4727535016 14.02
901005886000841  304.7161500662  -55.4923585109 13.66
901005886002564  304.7881492964  -55.4404467864 13.73
901005886003732  304.8360216059  -55.4083056958 13.99
901005886004676  304.8741092576  -55.4392180441 14.33
901005886005743  304.9230877622  -55.5196691585 14.31
901005886005793  304.9255010342  -55.6041696827 14.15
901005886010089  305.1217725794  -55.5768786327 14.22
901005886101212  305.1706392122  -55.5331074348 14.15
901005886103445  305.2634755162  -55.4814967907 14.35
901005886105341  305.3409476507  -55.3836788786 13.72
901005886106755  305.4001239527  -55.5559096447 14.11
901005886107200  305.4173087013  -55.4165347226 14.16
901005886108384  305.4650291153  -55.4742284197 13.72
901005886201046  305.6009216132  -55.5115967259 13.86
901005886201638  305.6244588730  -55.5203407489 14.22
901005886207313  305.8552036751  -55.5934579980 14.19
901005886209366  305.9310811891  -55.4810131506 14.30
901005886211074  305.9965354236  -55.4513991270 14.18
901005886300455  306.0118398919  -55.6223663794 14.08
901005886304203  306.1749509282  -55.4540984554 14.29
901005886308983  306.3824622558  -55.4040156631 14.08
901005886309795  306.4169342027  -55.4339354633 14.25
901005886309872  306.4199531329  -55.4068475915 14.37
901005886406100  306.6989892743  -55.4542789121 13.42
901005886406755  306.7266137968  -55.4389669304 13.81
901005886410518  306.8764498128  -55.3944065381 14.10
901005886500799  306.9031631555  -55.5679790406 13.94
901005886609793  307.7065449262  -55.6038354606 13.96
901005910705855   53.1448853070  -55.3473312796 14.21
901005910708727   53.2921357695  -55.3316409389 14.01
901005910901396   53.8071809786  -55.3719641045 14.17
901005911007448   54.5628626074  -55.3694111326 14.31
901005911008023   54.5888760749  -55.3308712256 14.24
901005911101049   54.6473397802  -55.3471316729 13.62
901005911105686   54.8560166881  -55.1415638247 13.93
901005911206306   55.3227448609  -55.1394169960 13.92
901005911302068   55.5654951527  -55.1905474431 13.92
901005911306528   55.7554297535  -55.3519931587 14.34
901005911602829   56.9054688201  -55.1940485070 14.40
901005911605031   56.9931122586  -55.2624539208 14.11
901005911605328   57.0052857634  -55.2459890085 14.31
901005911606637   57.0591113449  -55.3597114820 14.23
901005911609593   57.1861483202  -55.2368431438 13.84
901005911707198   57.5390792219  -55.3535163441 14.38
901005911708821   57.6153960439  -55.3156024197 14.31
901005911800667   57.6956616677  -55.1261539089 14.03
901005911805398   57.8927593315  -55.2115442044 14.35
901005911806644   57.9495940437  -55.3104175110 14.19
901005911808558   58.0250348064  -55.2711647954 14.27
901005911904712   58.2949425842  -55.3235120428 14.44
901005912000585   58.5669576997  -55.2775128493 14.12
901005912000868   58.5783893390  -55.2608358530 14.02
901005919602974   91.8660177772  -55.1458284175 13.84
901005919605548   91.9641770429  -55.3575008537 14.18
901005919608923   92.0948131851  -55.2959482701 13.72
901005919701161   92.2236543337  -55.2292752427 14.26
901005919701588   92.2384362679  -55.2967496190 14.36
901005919706010   92.4039996977  -55.3164683652 13.87
901005919711083   92.5920137295  -55.3222668478 14.23
901005919711266   92.5993736822  -55.3578053531 13.64
901005919802529   92.7180731829  -55.1817020206 14.04
901005919803275   92.7502873274  -55.2326799726 14.01
901005919805210   92.8343334415  -55.2401141908 14.07
901005919805266   92.8368517439  -55.3536166913 13.92
901005919805342   92.8398402677  -55.1939283701 14.33
901005919806492   92.8823917004  -55.3363303083 14.28
901005919808404   92.9575849053  -55.2108241753 13.52
901005919809242   92.9884863265  -55.2699927589 14.03
901005919902129   93.1271769129  -55.2332012715 13.98
901005919907737   93.3261539368  -55.2956435892 14.36
901005920001781   93.5605291808  -55.1433073427 13.53
901005920003584   93.6318755191  -55.2549922781 14.28
901005920007248   93.7800155852  -55.1358636951 13.83
901005920009211   93.8656086065  -55.2423761238 14.26
901005920009278   93.8683059074  -55.2002361904 14.01
901005920010783   93.9292025387  -55.2503335931 13.77
901005920100399   93.9437071843  -55.1825408188 13.95
901005920106127   94.1597490551  -55.3366763086 14.15
901005920111881   94.3664580884  -55.1386226745 14.04
901005920200218   94.3733686576  -55.2214127715 14.03
901005920200683   94.3898662719  -55.1679942544 14.01
901005920200863   94.3969830304  -55.2465933687 13.83
901005920203649   94.5033932852  -55.2125247067 13.83
901005920204469   94.5372636046  -55.3669173537 14.16
901005920206060   94.5991918908  -55.2370107335 14.06
901005920207914   94.6695137159  -55.1444625215 14.06
901005920209223   94.7194348546  -55.2576377589 13.78
901005920210928   94.7831551308  -55.3736481826 13.97
901005920302114   94.8863874223  -55.2650086141 13.76
901005920302191   94.8895655033  -55.3661720665 14.15
901005920303141   94.9304413411  -55.1300876363 14.09
901005920401249   95.3082143925  -55.1256113776 13.98
901005920402530   95.3673501131  -55.2786289013 14.37
901005920408433   95.6040343063  -55.1639198572 14.22
901005920502483   95.7761504667  -55.3519073900 13.89
901005920504030   95.8467312876  -55.3599209589 13.64
901005920506788   95.9761980666  -55.1590745342 14.21
901005920601606   96.1822076291  -55.3603494911 13.98
901005920602633   96.2343778922  -55.3427154641 13.59
901005920606100   96.4042074652  -55.2709476709 14.34
901005920608141   96.5071381215  -55.3584836088 14.31
901005920701144   96.6070994640  -55.1609773440 14.31
901005920702706   96.6823184088  -55.3051536626 14.06
901005920702824   96.6885459746  -55.1251733134 13.92
901005920703112   96.7012694308  -55.2279440822 14.12
901005920706201   96.8598584588  -55.2835657067 13.61
901005920801319   97.0584553287  -55.2339951533 13.57
901005920801613   97.0751103055  -55.3121022260 14.21
901005920802584   97.1299347749  -55.1946439415 13.66
901005920802986   97.1496215828  -55.3636377727 13.99
901005920804414   97.2315104587  -55.1539216438 13.69
901005920804919   97.2586955069  -55.2200629300 13.47
901005920805505   97.2909060843  -55.3087358211 13.70
901005920807623   97.4197718607  -55.3654680400 13.74
901005920902562   97.5502514750  -55.1581915895 14.24
901005920902844   97.5629125349  -55.3495057539 13.79
901005920904736   97.6606504214  -55.2021464220 13.74
901005920907946   97.8173111163  -55.2343775937 13.60
901005921001635   97.9348509393  -55.3003372555 14.11
901005921005471   98.1419265406  -55.2159245767 13.99
901005921100189   98.3102444131  -55.2297362065 14.42
901005921102484   98.4680273891  -55.2913225483 13.52
901005921103410   98.5304209246  -55.2935598614 14.35
901005921105816   98.6894404562  -55.1527869865 13.80
901005921106062   98.7045054829  -55.2700724439 13.83
901005921106257   98.7192015776  -55.2627000875 13.98
901005921201325   98.8293379471  -55.1947672110 14.33
901005921204476   99.0388061885  -55.3538410134 14.28
901005921302484   99.3764150586  -55.2244754997 14.21
901005967001554  298.9248455733  -55.1910968189 14.16
901005967003823  299.0579717136  -55.1823344843 13.73
901005967004429  299.0964610860  -55.2602541752 15.03
901005967204949  299.9420596488  -55.2335762742 14.10
901005967300997  300.1842505235  -55.3078281217 13.99
901005967303826  300.2973772042  -55.2935375655 14.13
901005967310527  300.5621765334  -55.2669471366 13.96
901005967407893  300.9247610283  -55.2827965831 13.82
901005967409923  301.0129812678  -55.2469195428 13.42
901005967502031  301.0999415594  -55.1310100347 14.36
901005967502473  301.1175245025  -55.3208657201 13.55
901005967502824  301.1324334046  -55.3139421333 13.58
901005967502914  301.1365039363  -55.3379125373 14.26
901005967503513  301.1610130764  -55.2904739301 13.49
901005967506323  301.2756733212  -55.2411298320 13.68
901005967507254  301.3150317581  -55.1991341756 14.34
901005967605430  301.6731415171  -55.2006398565 13.78
901005967605480  301.6751344036  -55.2767960655 14.15
901005967607421  301.7504845290  -55.3252178995 13.74
901005967608822  301.8032836405  -55.1320274000 13.98
901005967610471  301.8699512254  -55.2888291438 14.40
901005967610745  301.8810199921  -55.1654964983 14.33
901005967702094  301.9680291730  -55.1404008780 14.18
901005967702323  301.9763899018  -55.3595252880 13.95
901005967703865  302.0397816457  -55.3052477072 13.98
901005967803250  302.4565918614  -55.2265103862 14.21
901005967804490  302.5065372248  -55.3118257136 14.03
901005967810522  302.7572856512  -55.1487922323 14.25
901005967900507  302.7847336522  -55.2909683009 14.39
901005967901487  302.8240835954  -55.2424908896 13.80
901005967903028  302.8888332270  -55.1549520410 13.83
901005967903048  302.8894840737  -55.1730616050 13.93
901005967903065  302.8904877009  -55.2408492850 13.90
901005967905010  302.9720458005  -55.1846074401 13.66
901005967906406  303.0304211423  -55.3274631532 14.01
901005967909487  303.1550797498  -55.3664604742 13.46
901005968000688  303.2308252636  -55.2791705305 13.62
901005968003080  303.3360851651  -55.3463729871 13.65
901005968008625  303.5785147054  -55.3075715531 14.09
901005968009466  303.6171038398  -55.2570336080 14.18
901005968106021  303.8953762372  -55.1487154012 14.31
901005968107580  303.9636302163  -55.3495706864 13.41
901005968109652  304.0574310270  -55.3540424566 14.12
901005968202851  304.1981606798  -55.2057591150 14.19
901005968207806  304.4129944277  -55.2164561337 13.90
901005968208147  304.4285708959  -55.1424349141 13.71
901005968208383  304.4368736832  -55.2918977841 14.12
901005968210106  304.5060261811  -55.1609273404 14.34
901005968301408  304.5701118257  -55.1933659167 14.07
901005968301807  304.5873716214  -55.2767774713 13.87
901005968303845  304.6680745527  -55.3314500231 13.57
901005968304174  304.6831245345  -55.2180629164 14.14
901005968307637  304.8301684489  -55.1254927834 14.30
901005968400091  304.9517080885  -55.2251633334 14.28
901005968410751  305.3851293455  -55.1431397972 13.63
901005968502742  305.5000916827  -55.3299877494 13.77
901005968504321  305.5677927680  -55.2036595304 14.24
901005968506201  305.6423950629  -55.1991956804 13.55
901005968507099  305.6836897255  -55.1711838825 14.32
901005968601622  305.8863529481  -55.1328805226 13.84
901005968605138  306.0418083731  -55.2756544067 13.66
901005968605546  306.0588556914  -55.1655537015 13.38
901005968606051  306.0791870098  -55.2245057299 14.23
901005968606122  306.0821931387  -55.2934496542 14.19
901005968606339  306.0904823578  -55.1290440992 13.83
901005968609942  306.2343304925  -55.3019170494 13.89
901005968700405  306.2716516935  -55.1288211507 14.07
901005968704750  306.4408018526  -55.2070144889 15.72
901005968707632  306.5578047884  -55.1261305349 13.77
901005968708112  306.5764635122  -55.2241771155 13.64
901005968801521  306.7604574904  -55.2405199603 13.88
901005968801612  306.7640650565  -55.2169748334 13.38
901005968804267  306.8674288545  -55.3690411571 13.45
901005968806439  306.9604865052  -55.1791441015 13.97
901005968807011  306.9862471949  -55.2886659086 13.95
901005968807016  306.9865174085  -55.3142836966 14.02
901005968807706  307.0161309877  -55.3468889731 14.26
901005968809403  307.1043024111  -55.2646733327 14.15
901005968902977  307.2648654171  -55.3285359694 13.83
901005968904204  307.3191500008  -55.3037710176 14.01
901005968905386  307.3718730204  -55.2349002637 13.81
901005969904527  311.7118887134  -55.2040217813 14.32
901005969907749  311.8580621927  -55.1536071014 14.19
901005970001577  312.0099528535  -55.2299890281 14.35
901005970002503  312.0529594064  -55.2595343436 13.88
901005970003610  312.1047962928  -55.3201923088 13.99
901005970007938  312.2925395049  -55.1877990265 13.96
901005970008660  312.3248098475  -55.2360781647 14.23
901005970100680  312.4025009808  -55.2563658150 14.14
901005970104169  312.5558293007  -55.2536703424 13.89
901005970109962  312.7872465809  -55.2140591095 14.15
901005970200523  312.8346398621  -55.2882890116 14.10
901005970201235  312.8675622358  -55.3304916911 14.35
901005970203753  312.9761569128  -55.3099642412 13.92
901005970204363  313.0005147611  -55.1630272404 14.39
901005970205795  313.0638044102  -55.3260977369 14.26
901005970205887  313.0670142964  -55.3417145499 13.46
901005970300350  313.2632203394  -55.3177439206 13.73
901005970300851  313.2861011175  -55.2609846702 13.85
901005970303001  313.3879295981  -55.3527546625 14.12
901005970303325  313.4042916985  -55.2506442525 13.96
901005970308456  313.6418760178  -55.3531185297 13.83
901005970309372  313.6855045672  -55.2063005022 13.74
901005970401193  313.7431598283  -55.1679771625 13.84
901005970401248  313.7453191960  -55.2793193063 14.12
901005970500688  314.1560977924  -55.2629031595 13.70
901005970506533  314.4311069236  -55.1633834175 13.47
901005970601133  314.6150995474  -55.1918695075 14.12
901005970602629  314.6896300465  -55.1819849329 13.44
901005993104614   52.6741652980  -54.9321489385 14.25
901005993300303   53.3582515714  -55.0019425143 14.08
901005993301550   53.4135710280  -55.0700884096 14.44
901005993303824   53.5273557492  -55.0305671708 14.10
901005993304891   53.5732082476  -54.8887404920 13.79
901005993309700   53.7787544004  -55.0787043407 13.71
901005993501703   54.2936367579  -54.8981539158 14.21
901005993507267   54.5650249700  -55.0675717006 13.84
901005993602794   54.7870096373  -55.0576882534 13.80
901005993605815   54.9262692145  -54.9486631514 13.88
901005993606288   54.9455342718  -55.0503002294 13.53
901005993608047   55.0170922925  -54.9389900436 14.24
901005993807455   55.8184675045  -55.0917384012 13.84
901005993808983   55.8898214286  -54.9755645611 14.03
901005993909040   56.3130578281  -55.0585127481 13.87
901005993909263   56.3219767420  -54.9455797274 14.29
901005993909330   56.3249107317  -55.0611928434 13.91
901005994003352   56.4989632617  -55.0712660022 14.30
901005994008394   56.6978598956  -54.8904396266 13.90
901005994009393   56.7365024459  -55.0651395188 13.58
901005994010409   56.7788626142  -54.9934484667 14.15
901005994010664   56.7876351913  -54.8855632031 13.72
901005994100196   56.8230073690  -54.9737636942 14.35
901005994100644   56.8381162657  -55.0418552520 14.36
901005994103065   56.9297756441  -54.8997754342 14.15
901005994201500   57.3111389553  -55.0589500672 13.53
901005994202934   57.3700323001  -55.0953046123 13.66
901005994203817   57.4039086312  -54.9830868680 14.28
901005994204021   57.4126490742  -55.0227874957 14.04
901005994301614   57.7448498707  -55.0970214939 13.79
901005994301647   57.7459246453  -55.0847031614 14.29
901005994303367   57.8152541211  -55.0373282374 14.06
901005994406935   58.3817232587  -55.0323036546 13.64
901005994409793   58.4880662113  -54.9202069270 14.28
901005994410822   58.5284531912  -54.9536628619 14.36
901005994507267   58.8235830395  -54.9947505876 13.87
901005994510286   58.9245989190  -54.8950569693 14.10
901006002100409   91.5278791483  -54.8750774287 14.32
901006002103888   91.6509815583  -55.0124970665 14.07
901006002104779   91.6822608902  -54.8953493398 13.90
901006002105802   91.7178616166  -55.0293256480 13.99
901006002108100   91.8051655935  -54.9128710049 14.36
901006002109150   91.8492902871  -55.0714714223 14.29
901006002110190   91.8908283713  -55.0325893763 13.59
901006002201223   91.9986966657  -54.9065022161 14.07
901006002204705   92.1360710920  -54.9696723828 14.36
901006002205788   92.1783494258  -55.0192726268 13.99
901006002206539   92.2053100278  -54.9508785550 13.67
901006002207350   92.2353228757  -54.9080240999 13.41
901006002208158   92.2666378865  -55.0241933086 14.18
901006002209322   92.3132057391  -54.9512597025 13.42
901006002301245   92.4310581590  -55.0402789925 13.86
901006002305703   92.5996026967  -54.9655790584 14.28
901006002306872   92.6427264622  -55.0966658103 13.81
901006002306928   92.6449194516  -54.8845715690 14.14
901006002307161   92.6544411741  -54.8756176034 13.65
901006002309856   92.7552933052  -55.0384957751 14.13
901006002310907   92.7975626828  -55.1038192146 13.82
901006002400378   92.8331637504  -55.0644932385 14.06
901006002400380   92.8333219041  -55.0120531513 13.80
901006002402208   92.9078239961  -54.9802283323 14.18
901006002405441   93.0323820510  -54.9558213703 14.22
901006002406169   93.0575030813  -55.0094109942 14.10
901006002411363   93.2512504020  -55.0797007751 13.79
901006002501985   93.3201842161  -54.9927609266 13.44
901006002502544   93.3391286856  -54.9480152046 14.29
901006002506123   93.4817233537  -55.0056543536 14.37
901006002507436   93.5352301502  -54.9119608674 14.17
901006002509003   93.5990878981  -55.1136220551 13.90
901006002509831   93.6329025064  -54.9636464818 14.03
901006002510019   93.6411732985  -55.0628869905 13.99
901006002601778   93.7508741672  -55.0990400095 14.27
901006002602477   93.7803805456  -54.9461731186 14.14
901006002604764   93.8746603843  -55.0553483685 13.83
901006002604825   93.8776435447  -54.9382037054 14.11
901006002605103   93.8887065917  -54.9804984693 14.23
901006002605960   93.9285404670  -54.8925034956 13.91
901006002608472   94.0259492591  -55.0465274570 13.50
901006002608985   94.0456403922  -55.0345677424 14.15
901006002610751   94.1106651736  -54.8962811517 13.60
901006002700962   94.1500400392  -54.8987236530 13.69
901006002702940   94.2265274718  -55.1143600757 13.54
901006002703572   94.2482985501  -54.8876487140 14.41
901006002703690   94.2523717930  -54.9041557525 14.25
901006002706412   94.3496802861  -54.9258886213 14.16
901006002708005   94.4083501254  -55.0897527142 13.39
901006002708944   94.4446280407  -54.9327251666 14.34
901006002709448   94.4678717598  -55.0278493299 14.08
901006002801366   94.6142578400  -54.9697017908 14.01
901006002802940   94.6864000575  -55.0126168666 14.03
901006002803982   94.7348806795  -55.0127555833 14.16
901006002805578   94.8068168294  -54.9266083232 13.74
901006002806397   94.8477417269  -55.0363789798 13.39
901006002806804   94.8678046200  -54.9516676929 14.25
901006002807230   94.8897635696  -54.8773994764 14.31
901006002808516   94.9523758191  -55.1219069911 14.28
901006002900424   95.0133873761  -54.9018046481 14.37
901006002901247   95.0640508020  -54.9779293565 13.87
901006002901431   95.0749938259  -54.9208786184 13.97
901006002903056   95.1596925205  -55.1220093324 13.48
901006002904707   95.2431213043  -55.0048255503 13.69
901006002907807   95.4057373628  -55.0599907637 14.01
901006003000247   95.4278131383  -55.0148394831 13.62
901006003000790   95.4571720948  -54.9603097923 13.97
901006003000918   95.4627411982  -54.9837589857 14.00
901006003000958   95.4645607123  -54.8880220901 13.76
901006003002461   95.5468969259  -55.0026138159 14.21
901006003004046   95.6227929139  -54.9308152374 14.22
901006003008129   95.8215360996  -55.0945445557 14.37
901006003100239   95.8604024878  -55.1031689700 14.09
901006003102683   95.9847026606  -54.8921892881 14.13
901006003104733   96.0985544585  -54.9567185520 13.48
901006003107142   96.2143327605  -54.8893260060 13.53
901006003107564   96.2354140701  -54.9485995413 14.19
901006003204731   96.5110677921  -54.8857268863 14.08
901006003207744   96.6587484483  -55.1023026723 13.83
901006003301372   96.7998143617  -54.9562423481 13.92
901006003303181   96.9098705449  -54.9813699141 13.70
901006003305444   97.0378451257  -55.0722868714 13.94
901006003306297   97.0903586119  -54.9386623165 13.87
901006003306733   97.1165422218  -55.0262237240 13.92
901006003307317   97.1545936779  -55.1155716023 14.18
901006003400410   97.1789717115  -54.9050625820 13.52
901006003401680   97.2558592589  -54.9172093095 14.10
901006003402732   97.3146789665  -54.9357268190 14.27
901006003404562   97.4229707054  -55.1215543861 13.87
901006003404968   97.4468491032  -54.9826770736 13.68
901006003406007   97.5072785646  -54.9500808751 13.84
901006003502768   97.7296300997  -54.9704386626 14.05
901006003503987   97.7984382656  -54.9726605323 13.94
901006003505090   97.8604207269  -55.0159589626 13.72
901006003506533   97.9401421079  -55.0233386353 13.68
